"Player.Name","Salary","Position","Age","Team","GP","GS","AST","STL","BLK","PTS","FG","FGA","Total.Minutes"
"Chris Duarte",3936960,"SF",25,"IND",46,12,1.4,0.5,0.2,7.9,2.7,7.2,897
"Alex Len",3918600,"C",29,"SAC",26,2,0.5,0.2,0.4,1.7,0.6,1.2,161
"Ochai Agbaji",3918360,"SG",22,"UTA",59,22,1.1,0.3,0.3,7.9,2.8,6.5,1209
"Jordan Poole",3901399,"PG",23,"GSW",82,43,4.5,0.8,0.3,20.4,6.7,15.6,2458
"Keldon Johnson",3873024,"SF",23,"SAS",63,63,2.9,0.7,0.2,22,8,17.7,2063
"James Johnson",3841067,"PF",35,"IND",18,1,0.8,0.4,0.3,2.8,1.2,2.7,162
"Aaron Nesmith",3804360,"SF",23,"IND",73,60,1.3,0.8,0.5,10.1,3.5,8.1,1816
"Moses Moody",3740160,"SG",20,"GSW",63,3,0.8,0.3,0.1,4.8,1.7,3.6,817
"Mark Williams",3722040,"C",21,"CHO",43,17,0.4,0.7,1,9,3.7,5.8,828
"Cole Anthony",3613680,"PG",22,"ORL",60,4,3.9,0.6,0.5,13,4.6,10.2,1552
"Corey Kispert",3552840,"SF",23,"WAS",74,45,1.2,0.4,0.1,11.1,3.9,7.9,2093
"AJ Griffin",3536160,"SF",19,"ATL",72,12,1,0.6,0.2,8.9,3.4,7.4,1401
"Mike Muscala",3500000,"C",31,"BOS/OKC",63,9,0.8,0.2,0.4,6.1,2.1,4.6,945
"Georges Niang",3465000,"PF",29,"PHI",78,1,1,0.4,0.2,8.2,2.8,6.4,1512
"Isaiah Stewart",3433320,"C",21,"DET",50,47,1.4,0.4,0.7,11.3,3.9,8.8,1414
"Chuma Okeke",3433320,"SF",24,"ORL",27,8,1.4,0.7,0.4,4.7,1.6,4.5,518
"Amir Coffey",3395062,"SF",25,"LAC",50,9,1.1,0.1,0.1,3.4,1.1,2.9,625
"Tari Eason",3359160,"PF",21,"HOU",82,5,1.1,1.2,0.6,9.3,3.6,8,1767
"Aleksej Pokusevski",3261480,"PF",21,"OKC",34,25,1.9,0.6,1.3,8.1,3.2,7.3,701
"Simone Fontecchio",3205128,"SF",27,"UTA",52,6,0.8,0.3,0.2,6.3,2.2,6,766
"Andre Drummond",3200000,"C",29,"CHI",67,0,0.5,0.7,0.4,6,2.5,4.1,849
"Dalen Terry",3191400,"SG",20,"CHI",38,0,0.6,0.3,0.1,2.2,0.8,1.9,214
"Sterling Brown",3122602,"SF",27,"LAL",4,0,0.5,0.8,0,0,0,1,24
"Josh Green",3098400,"SG",22,"DAL",60,21,1.7,0.7,0.1,9.1,3.4,6.4,1539
"Jake LaRavia",3047640,"PF",21,"MEM",35,0,0.6,0.3,0.1,3,1.1,2.7,414
"Tre Mann",3046200,"PG",21,"OKC",67,5,1.8,0.6,0.2,7.7,2.9,7.5,1183
"Kevin Knox",3e+06,"SF-PF",23,"DET/POR",63,5,0.5,0.4,0.2,6.6,2.4,5.3,952
"Saddiq Bey",2959080,"SF",23,"DET/ATL",77,37,1.5,0.9,0.2,13.8,4.6,10.9,2129
"Malaki Branham",2925600,"SG",19,"SAS",66,32,1.9,0.5,0.1,10.2,4.1,9.3,1550
"Joe Wieskamp",2909261,"SF",23,"TOR",9,0,0.3,0,0,1,0.3,1.6,50
"Kai Jones",2909040,"C",22,"CHO",46,0,0.3,0.4,0.7,3.4,1.5,2.6,550
"Blake Griffin",2905851,"C",33,"BOS",41,16,1.5,0.3,0.2,4.1,1.5,3.2,569
"Robin Lopez",2905851,"C",34,"CLE",37,2,0.5,0.1,0.2,3,1.3,2,299
