PLAYER,2024 SALARY,2024 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Shatori Walker-Kimbrough,"$97,850 ",UFA,40,15,24.8,6.3,2.2,5.1,42.90%,1.4,3,45.50%,0.8,2.1,39.00%,1.1,1.2,93.60%,0.2,1.9,2.1,1.7,0.7,0.7,0.4,1.2
Lindsay Allen,"$90,000 ",UFA,29,20,24.1,6.2,2.2,5.6,39.90%,2,4.4,45.00%,0.2,1.2,20.60%,1.4,1.8,79.20%,0.6,1.9,2.4,4.5,1.3,0.6,0.1,2.1
Dorka Juhasz,"$66,597 ",--,38,27,24.2,6,2.5,5.2,47.20%,2.1,4,53.60%,0.3,1.3,27.10%,0.7,1.3,54.00%,1.7,4.8,6.5,2.6,1.2,0.9,0.6,1.8
Nikolina Milic,,UFA,39,3,12.7,5.9,2.3,4.9,46.40%,2.1,4.4,47.60%,0.2,0.6,36.40%,1.2,1.4,80.40%,0.7,1.7,2.4,0.8,1.1,0.1,0.1,1.7
Kia Nurse,"$142,500 ",UFA,40,20,19.7,5.9,2,5.8,34.30%,0.8,2.3,33.30%,1.3,3.6,35.00%,0.6,0.7,88.90%,0.3,2,2.3,1.3,0.7,0.6,0.1,1.9
Danielle Robinson,,UFA,32,27,21.6,5.8,2.2,4.8,46.10%,1.9,3.8,50.40%,0.3,1,29.00%,1.1,1.5,75.00%,0.3,1.9,2.2,3.3,1.3,0.7,0.1,2
Emma Cannon,,UFA,30,3,10.5,5.8,2,4.5,45.50%,1.6,3.3,48.00%,0.4,1.1,38.20%,1.3,1.5,90.90%,0.8,2.3,3.1,0.5,1.1,0.1,0.1,1.4
Emma Cannon,"$76,535 ",UFA,30,3,10.5,5.8,2,4.5,45.50%,1.6,3.3,48.00%,0.4,1.1,38.20%,1.3,1.5,90.90%,0.8,2.3,3.1,0.5,1.1,0.1,0.1,1.4
Tyasha Harris,"$97,100 ",--,40,0,16.7,5.8,2.2,5.2,41.60%,1.2,3.1,38.40%,1,2.1,46.40%,0.4,0.6,68.00%,0.1,0.7,0.9,1.7,1,0.7,0.1,1.1
Myisha Hines-Allen,"$180,200 ",RFA,35,18,17.6,5.6,2.1,6.1,34.00%,1.6,4.3,36.90%,0.5,1.9,27.30%,0.9,1.3,71.70%,1.1,3.3,4.4,2.2,1.5,0.7,0.2,2.2
Li Meng,,Rookie,34,1,15.9,5.6,1.8,4.8,37.80%,0.5,1.3,41.90%,1.3,3.6,36.40%,0.6,0.8,84.60%,0.2,0.9,1.1,1,0.8,0.3,0,1.1
Rachel Banham,"$95,000 ",UFA,32,1,13.6,5.5,1.9,5.2,37.00%,0.6,1.8,31.00%,1.3,3.3,40.20%,0.3,0.4,78.60%,0.1,0.9,1,1.7,1.1,0.3,0.1,1.4
Aerial Powers,"$155,000 ",UFA,20,0,9.7,5.2,1.9,4.6,41.30%,1.6,3.7,43.80%,0.3,1,31.60%,1.1,1.2,91.70%,0.3,1.5,1.8,0.8,0.9,0.2,0.1,0.3
Victoria Vivians,"$90,000 ",RFA,38,14,17.7,5.2,1.9,5.1,38.00%,1.2,2.6,46.90%,0.7,2.5,28.70%,0.6,0.8,76.70%,0.5,2.6,3.1,1.3,0.8,0.7,0.2,1.9
Victoria Vivians,"$76,535 ",UFA,38,14,17.7,5.2,1.9,5.1,38.00%,1.2,2.6,46.90%,0.7,2.5,28.70%,0.6,0.8,76.70%,0.5,2.6,3.1,1.3,0.8,0.7,0.2,1.9
Mercedes Russell,"$160,000 ",RFA,37,13,19.1,5,2.2,4.2,51.60%,2.2,4.2,51.90%,0,0,0.00%,0.6,1,60.50%,1.1,3,4,1.3,1.5,0.4,0.5,1.5
